thedate,thetime,curName,currCode,unit,buyingVal,invBuyingVal,sellingVal,invSellingVal,middleRate, invMiddleRate
"14 Mar 2019 (Thursday)","1700","1 Australian Dollar ","AUD","1","2.8872 ","[0.3459]","2.8908 ","[0.3464]","2.8890 ","[0.3461]"
"14 Mar 2019 (Thursday)","1700","1 Brunei Dollar ","BND","1","3.0159 ","[0.3311]","3.0200 ","[0.3316]","3.0180 ","[0.3313]"
"14 Mar 2019 (Thursday)","1700","1 Canadian Dollar ","CAD","1","3.0701 ","[0.3253]","3.0743 ","[0.3257]","3.0722 ","[0.3255]"
"14 Mar 2019 (Thursday)","1700","100 Cambodian Riel ","KHR","100","0.1020 ","[968.15]","0.1033 ","[980.12]","0.1027 ","[974.10]"
"14 Mar 2019 (Thursday)","1700","1 Chinese Renminbi ","CNY","1","0.6083 ","[1.6422]","0.6089 ","[1.6440]","0.6086 ","[1.6431]"
"14 Mar 2019 (Thursday)","1700","1 EURO","EUR","1","4.6278 ","[0.2158]","4.6332 ","[0.2161]","4.6305 ","[0.2160]"
"14 Mar 2019 (Thursday)","1700","100 Hong Kong Dollar ","HKD","100","52.0516 ","[1.9193]","52.1032 ","[1.9212]","52.0774 ","[1.9202]"
"14 Mar 2019 (Thursday)","1700","100 Indonesian Rupiah ","IDR","100","0.0286 ","[3,487]","0.0287 ","[3,493]","0.0287 ","[3,490]"
"14 Mar 2019 (Thursday)","1700","100 Japanese Yen","JPY","100","3.6583 ","[27.3056]","3.6622 ","[27.3348]","3.6603 ","[27.3202]"
"14 Mar 2019 (Thursday)","1700","100 Korean Won ","KRW","100","0.3600 ","[277.0171]","0.3610 ","[277.7778]","0.3605 ","[277.3969]"
"14 Mar 2019 (Thursday)","1700","100 Phillippine Peso ","PHP","100","7.7614 ","[12.8619]","7.7749 ","[12.8842]","7.7682 ","[12.8730]"
"14 Mar 2019 (Thursday)","1700","100 Saudi Arabian Riyal ","SAR","100","108.9484 ","[0.9169]","109.0609 ","[0.9179]","109.0046 ","[0.9174]"
"14 Mar 2019 (Thursday)","1700","1 Singapore Dollar","SGD","1","3.0159 ","[0.3311]","3.0200 ","[0.3316]","3.0180 ","[0.3313]"
"14 Mar 2019 (Thursday)","1700","1 Swiss Franc ","CHF","1","4.0681 ","[0.2454]","4.0745 ","[0.2458]","4.0713 ","[0.2456]"
"14 Mar 2019 (Thursday)","1700","100 Taiwanese New Dollar ","TWD","100","13.2130 ","[7.5535]","13.2388 ","[7.5683]","13.2259 ","[7.5609]"
"14 Mar 2019 (Thursday)","1700","100 Thai Baht ","THB","100","12.8774 ","[7.7531]","12.8981 ","[7.7655]","12.8878 ","[7.7593]"
"14 Mar 2019 (Thursday)","1700","1 U.K. Pound ","GBP","1","5.4364 ","[0.1837]","5.4438 ","[0.1839]","5.4401 ","[0.1838]"
"14 Mar 2019 (Thursday)","1700","1 U.S. Dollar ","USD","1","4.0860 ","[0.2445]","4.0900 ","[0.2447]","4.0880 ","[0.2446]"
"14 Mar 2019 (Thursday)","1700","100 Vietnamese Dong ","VND","100","0.0176 ","[5,672.12]","0.0176 ","[5,677.91]","0.0176 ","[5,675.01]"
"14 Mar 2019 (Thursday)","1700","1 IMF Special Drawing Right ","SDR","1","-","-","-","-","5.6864 ","[0.1759]"
"14 Mar 2019 (Thursday)","1700","1 New Zealand Dollar","NZD","1","2.7928 ","[0.3575]","2.7976 ","[0.3581]","2.7952 ","[0.3578]"
"14 Mar 2019 (Thursday)","1700","100 Myanmar Kyat","MMK","100","0.2674 ","[373.5941]","0.2677 ","[373.9721]","0.2675 ","[373.7830]"
"14 Mar 2019 (Thursday)","1700","100 Indian Rupee","INR","100","5.8749 ","[17.0037]","5.8811 ","[17.0215]","5.8780 ","[17.0126]"
"14 Mar 2019 (Thursday)","1700","100 United Arab Emirates Dirham UAE","AED","100","111.2291 ","[0.8980]","111.3592 ","[0.8990]","111.2941 ","[0.8985]"
"14 Mar 2019 (Thursday)","1700","100 Pakistan Rupee","PKR","100","2.8979 ","[33.9120]","2.9488 ","[34.5081]","2.9233 ","[34.2074]"
"14 Mar 2019 (Thursday)","1700","100 Nepalese  Rupee","NPR","100","3.6718 ","[27.2054]","3.6757 ","[27.2345]","3.6738 ","[27.2199]"
