thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
"06 Mar 2019","A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C22","0.290","0.275","0.300","0.290","-0.010","-3.33","6,998","0.000 / 0","0.310 / 241"
"06 Mar 2019","A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C24","-","-","-","0.910","0.000","0.00","0","0.000 / 0","0.910 / 40"
"06 Mar 2019","A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C26","-","-","-","0.505","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C28","0.295","0.285","0.300","0.290","-0.005","-1.69","10,101","0.000 / 0","0.350 / 100"
"06 Mar 2019","A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C30","0.405","0.385","0.425","0.405","-0.005","-1.22","155,096","0.390 / 100","0.405 / 50"
"06 Mar 2019","A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-C32","0.820","0.820","0.820","0.820","-0.050","-5.75","133","0.780 / 150","0.000 / 0"
"06 Mar 2019","A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C34","-","-","-","1.060","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)","A50CHIN-C36","0.615","0.605","0.625","0.610","-0.010","-1.61","1,972","0.000 / 0","0.000 / 0"
"06 Mar 2019","A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H21","-","-","-","0.050","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H23","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H25","-","-","-","0.035","0.000","0.00","0","0.010 / 800","0.000 / 0"
"06 Mar 2019","A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)","A50CHIN-H27","0.065","0.065","0.070","0.065","-0.005","-7.14","21,635","0.065 / 1,074","0.070 / 1,000"
"06 Mar 2019","ASTRAL ASIA BHD","AASIA","0.150","0.150","0.150","0.150","0.005","3.45","100","0.150 / 30","0.155 / 310"
"06 Mar 2019","AIRASIA X BERHAD","AAX","0.250","0.245","0.255","0.255","0.010","4.08","90,106","0.250 / 34,864","0.255 / 19,271"
"06 Mar 2019","AAX-C20: CW AIRASIA X BERHAD (RHB)","AAX-C20","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.005 / 11,830"
"06 Mar 2019","AAX-C21: CW AIRASIA X BERHAD (MACQ)","AAX-C21","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","AIRASIA X BERHAD - WARRANTS  A  2015/2020","AAX-WA","0.050","0.050","0.055","0.055","0.000","0.00","28,026","0.055 / 2,550","0.060 / 15,077"
"06 Mar 2019","ABF MALAYSIA BOND INDEX FUND","ABFMY1","-","-","-","1.167","0.000","0.00","0","1.167 / 13","1.168 / 1,000"
"06 Mar 2019","ABLEGROUP BERHAD","ABLEGRP","-","-","-","0.070","0.000","0.00","0","0.070 / 10,184","0.075 / 1,908"
"06 Mar 2019","ALLIANCE BANK MALAYSIA BERHAD","ABMB","4.220","4.200","4.230","4.210","-0.020","-0.47","9,637","4.210 / 4,812","4.240 / 56"
"27 Feb 2019","ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)","ABMB-CX","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)","ABMB-CY","-","-","-","0.100","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","ACME HOLDINGS BERHAD","ACME","-","-","-","0.230","0.000","0.00","0","0.250 / 280","0.300 / 47"
"06 Mar 2019","ACOUSTECH BHD","ACOSTEC","0.440","0.430","0.455","0.455","0.020","4.60","23,742","0.450 / 101","0.455 / 545"
"06 Mar 2019","ADVANCECON HOLDINGS BERHAD","ADVCON","0.350","0.350","0.350","0.350","0.000","0.00","4,602","0.350 / 40","0.355 / 2,104"
"06 Mar 2019","ADVENTA BHD","ADVENTA","0.355","0.355","0.355","0.355","0.000","0.00","200","0.355 / 450","0.385 / 70"
"06 Mar 2019","ADVANCED PACKAGING TECHNOLOGY","ADVPKG","-","-","-","1.900","0.000","0.00","0","1.820 / 20","2.000 / 179"
"06 Mar 2019","AE MULTI HOLDINGS BHD","AEM","0.115","0.115","0.120","0.120","0.000","0.00","3,188","0.110 / 3,588","0.120 / 159"
"06 Mar 2019","AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019","AEM-WA","-","-","-","0.005","0.000","0.00","0","0.005 / 13,435","0.010 / 25,316"
"06 Mar 2019","AEMULUS HOLDINGS BERHAD","AEMULUS","0.245","0.245","0.250","0.250","0.005","2.04","3,897","0.245 / 2,700","0.250 / 4,632"
"06 Mar 2019","AEON CO. (M) BHD","AEON","1.610","1.580","1.610","1.590","-0.020","-1.24","8,324","1.580 / 420","1.590 / 449"
"28 Feb 2019","AEON-CN: CW AEON CO. (M) BERHAD (MIBB)","AEON-CN","-","-","-","0.015","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","AEON-CO: CW AEON CO. (M) BERHAD (CIMB)","AEON-CO","0.060","0.055","0.060","0.055","-0.005","-8.33","1,700","0.050 / 1,000","0.060 / 2,000"
"06 Mar 2019","AEON-CP: CW AEON CO (M) BERHAD (RHB)","AEON-CP","0.055","0.050","0.055","0.050","0.000","0.00","2","0.000 / 0","0.000 / 0"
"06 Mar 2019","AEON-CQ: CW AEON CO. (M) BERHAD (KIBB)","AEON-CQ","-","-","-","0.030","0.000","0.00","0","0.000 / 0","0.040 / 500"
"06 Mar 2019","AEON CREDIT SERVICE (M) BHD","AEONCR","17.000","17.000","17.320","17.200","0.220","1.30","1,763","17.100 / 30","17.200 / 16"
"06 Mar 2019","AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020","AEONCR-LA","-","-","-","1.500","0.000","0.00","0","1.500 / 550","1.600 / 60"
"06 Mar 2019","AFFIN BANK BERHAD","AFFIN","2.290","2.280","2.310","2.310","0.000","0.00","999","2.300 / 10","2.310 / 239"
"06 Mar 2019","ABM FUJIYA BERHAD","AFUJIYA","0.540","0.540","0.540","0.540","0.005","0.93","10","0.510 / 100","0.530 / 37"
"06 Mar 2019","AHB HOLDINGS BHD","AHB","0.130","0.130","0.130","0.130","0.000","0.00","1,805","0.130 / 16","0.135 / 1,149"
"06 Mar 2019","AHB HOLDINGS BERHAD - WARRANTS B 2014/2019","AHB-WB","0.005","0.005","0.005","0.005","0.000","0.00","2,400","0.005 / 8,000","0.010 / 18,500"
"06 Mar 2019","APEX HEALTHCARE BHD","AHEALTH","9.740","9.660","9.740","9.660","-0.110","-1.13","269","9.660 / 3","9.740 / 22"
"06 Mar 2019","AMANAH HARTA TANAH PNB","AHP","0.740","0.740","0.755","0.755","0.020","2.72","35","0.740 / 25","0.755 / 247"
"06 Mar 2019","ADVANCE INFORMATION MARKETING","AIM","-","-","-","0.280","0.000","0.00","0","0.245 / 200","0.400 / 2,000"
"06 Mar 2019","AIRASIA GROUP BERHAD","AIRASIA","2.800","2.780","2.820","2.800","0.010","0.36","77,790","2.800 / 1,685","2.810 / 2,158"
"06 Mar 2019","AIRASIAC59: CW AIRASIA GROUP BERHAD (MACQ)","AIRASIAC59","-","-","-","0.025","0.000","0.00","0","0.000 / 0","0.000 / 0"
"28 Feb 2019","AIRASIAC65: CW AIRASIA GROUP BERHAD (CIMB)","AIRASIAC65","-","-","-","0.005","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","AIRASIAC67: CW AIRASIA GROUP BERHAD (CIMB)","AIRASIAC67","0.100","0.085","0.100","0.090","-0.005","-5.26","2,600","0.090 / 150","0.100 / 3,000"
"06 Mar 2019","AIRASIAC68: CW AIRASIA GROUP BERHAD (MACQ)","AIRASIAC68","-","-","-","0.010","0.000","0.00","0","0.000 / 0","0.010 / 2,300"
"06 Mar 2019","AIRASIAC69: CW AIRASIA GROUP BERHAD (MACQ)","AIRASIAC69","-","-","-","0.030","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","AIRASIAC70: CW AIRASIA GROUP BERHAD (AM)","AIRASIAC70","0.015","0.015","0.015","0.015","-0.005","-25.00","9,000","0.010 / 3,000","0.020 / 4,170"
"06 Mar 2019","AIRASIAC71: CW AIRASIA GROUP BERHAD (CIMB)","AIRASIAC71","0.080","0.080","0.085","0.080","-0.005","-5.88","6,275","0.080 / 1,105","0.085 / 1,352"
"06 Mar 2019","AIRASIAC72: CW AIRASIA GROUP BERHAD (MACQ)","AIRASIAC72","0.180","0.175","0.180","0.180","0.000","0.00","3,080","0.000 / 0","0.000 / 0"
"06 Mar 2019","AIRASIAC73: CW AIRASIA GROUP BERHAD (KIBB)","AIRASIAC73","0.195","0.195","0.200","0.195","0.000","0.00","9,970","0.195 / 500","0.200 / 5,000"
"06 Mar 2019","AIRASIAC74: CW AIRASIA GROUP BERHAD (MACQ)","AIRASIAC74","-","-","-","0.280","0.000","0.00","0","0.270 / 20","0.000 / 0"
"06 Mar 2019","AIRASIAC75: CW AIRASIA GROUP BERHAD (AM)","AIRASIAC75","0.130","0.130","0.130","0.130","0.000","0.00","800","0.000 / 0","0.000 / 0"
"06 Mar 2019","AIRASIAC76: CW AIRASIA GROUP BERHAD (MIBB)","AIRASIAC76","-","-","-","0.075","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","AIRASIAC77: CW AIRASIA GROUP BERHAD (MACQ)","AIRASIAC77","0.075","0.075","0.075","0.075","0.000","0.00","42,363","0.075 / 1,000","0.080 / 3,960"
"06 Mar 2019","AIRASIAC78: CW AIRASIA GROUP BERHAD (KIBB)","AIRASIAC78","0.095","0.095","0.095","0.095","0.000","0.00","48,000","0.000 / 0","0.000 / 0"
"06 Mar 2019","MALAYSIA AIRPORTS HOLDINGS BHD","AIRPORT","7.950","7.800","7.960","7.870","-0.120","-1.50","43,503","7.850 / 30","7.870 / 150"
"06 Mar 2019","AIRPORT-C2: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (RHB)","AIRPORT-C2","-","-","-","0.025","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","AIRPORT-C3: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (AM)","AIRPORT-C3","-","-","-","0.035","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","AIRPORT-C4: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (CIMB)","AIRPORT-C4","0.050","0.045","0.050","0.045","-0.005","-10.00","263","0.040 / 1,200","0.050 / 200"
"06 Mar 2019","AIRPORT-C5: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (MACQ)","AIRPORT-C5","0.065","0.065","0.065","0.065","-0.005","-7.14","6,472","0.000 / 0","0.000 / 0"
"06 Mar 2019","AIRPORT-C6: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (RHB)","AIRPORT-C6","-","-","-","0.160","0.000","0.00","0","0.000 / 0","0.000 / 0"
"06 Mar 2019","AIRPORT-C7: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (KIBB)","AIRPORT-C7","0.095","0.095","0.095","0.095","-0.010","-9.52","400","0.000 / 0","0.100 / 502"
"06 Mar 2019","AMALGAMATED INDUSTRIAL STEEL","AISB","-","-","-","0.260","0.000","0.00","0","0.260 / 117","0.295 / 252"
"06 Mar 2019","AJINOMOTO (M) BHD","AJI","18.680","18.480","18.680","18.520","-0.080","-0.43","140","18.520 / 2","18.580 / 2"
"06 Mar 2019","AJIYA BHD","AJIYA","0.545","0.540","0.545","0.545","-0.010","-1.80","1,770","0.540 / 30","0.545 / 85"
"06 Mar 2019","AJIYA BERHAD - WARRANTS 2016/2021","AJIYA-WA","-","-","-","0.095","0.000","0.00","0","0.090 / 1,241","0.105 / 2,174"
"06 Mar 2019","ALAM MARITIM RESOURCES BHD","ALAM","0.100","0.100","0.115","0.110","0.005","4.76","88,527","0.105 / 30,165","0.110 / 8,917"
"06 Mar 2019","AL-AQAR HEALTHCARE REIT","ALAQAR","1.370","1.350","1.370","1.350","-0.020","-1.46","10,593","1.350 / 2,642","1.370 / 200"
"06 Mar 2019","ALCOM GROUP BERHAD","ALCOM","0.520","0.520","0.550","0.550","0.035","6.80","802","0.530 / 100","0.550 / 530"
"06 Mar 2019","ALLIANZ MALAYSIA BHD","ALLIANZ","14.300","14.280","14.400","14.300","0.000","0.00","2,347","14.260 / 1","14.300 / 575"
"06 Mar 2019","ALLIANZ MALAYSIA BHD-ICPS","ALLIANZ-PA","-","-","-","14.300","0.000","0.00","0","14.000 / 100","0.000 / 0"
"06 Mar 2019","AL-SALAM REAL ESTATE INVESTMENT TRUST","ALSREIT","0.820","0.820","0.830","0.820","-0.005","-0.61","320","0.820 / 311","0.830 / 35"
"06 Mar 2019","AMMB HOLDINGS BHD","AMBANK","4.510","4.450","4.510","4.500","0.010","0.22","20,975","4.500 / 3,804","4.510 / 100"
"06 Mar 2019","AMBANK-C10: CW AMMB HOLDINGS BERHAD (CIMB)","AMBANK-C10","-","-","-","0.190","0.000","0.00","0","0.000 / 0","0.300 / 30"
